date,symbol,open,high,low,close,volume,market_cap
2025-03-18,BITCOIN,84075.36559694471,84075.36559694471,84075.36559694471,84075.36559694471,19659366246.596867,1667799227887.438
2025-03-19,BITCOIN,82780.03048688271,82780.03048688271,82780.03048688271,82780.03048688271,24557570268.85276,1642578274105.806
2025-03-20,BITCOIN,86815.44109470697,86815.44109470697,86815.44109470697,86815.44109470697,33871216993.304657,1721565138141.278
2025-03-21,BITCOIN,84270.84358966233,84270.84358966233,84270.84358966233,84270.84358966233,27579127651.06656,1672550706502.8184
2025-03-22,BITCOIN,84009.532917822,84009.532917822,84009.532917822,84009.532917822,18091004975.919056,1666749159154.2927
2025-03-23,BITCOIN,83793.30854192551,83793.30854192551,83793.30854192551,83793.30854192551,7771134681.982918,1662574363663.653
2025-03-24,BITCOIN,85787.70914901773,85787.70914901773,85787.70914901773,85787.70914901773,12617587530.619724,1702009594329.4495
2025-03-25,BITCOIN,87327.72969669085,87327.72969669085,87327.72969669085,87327.72969669085,27270889835.1835,1732715331970.134
2025-03-26,BITCOIN,87520.58391530563,87520.58391530563,87520.58391530563,87520.58391530563,30351832942.705593,1735368473904.4885
2025-03-27,BITCOIN,86960.8555491039,86960.8555491039,86960.8555491039,86960.8555491039,25522877558.700558,1724854479045.6724
2025-03-28,BITCOIN,87227.27158032371,87227.27158032371,87227.27158032371,87227.27158032371,24620445368.489468,1729729987159.4822
2025-03-29,BITCOIN,84359.46915506005,84359.46915506005,84359.46915506005,84359.46915506005,31674486232.097313,1673182800974.1038
2025-03-30,BITCOIN,82679.17255385047,82679.17255385047,82679.17255385047,82679.17255385047,16837439419.924389,1640665503855.1438
2025-03-31,BITCOIN,82356.38111183756,82356.38111183756,82356.38111183756,82356.38111183756,13428975108.070734,1633996304187.2593
2025-04-01,BITCOIN,82514.09365397849,82514.09365397849,82514.09365397849,82514.09365397849,30326148749.91535,1635076581047.3545
2025-04-02,BITCOIN,85237.5876052852,85237.5876052852,85237.5876052852,85237.5876052852,29172899851.734768,1690602036035.04
2025-04-03,BITCOIN,82526.4221526433,82526.4221526433,82526.4221526433,82526.4221526433,46332905657.77597,1637358764747.381
2025-04-04,BITCOIN,83163.98757387721,83163.98757387721,83163.98757387721,83163.98757387721,36594464539.14662,1652537223074.958
2025-04-05,BITCOIN,83852.00765399594,83852.00765399594,83852.00765399594,83852.00765399594,35647289400.47406,1664234880198.049
